,artist,album,track_name,track_id,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Drake,Scorpion,God's Plan,6DCZcSspjsKoFjzjrWoCdn,2018,True,84,0.754,0.449,G,-9.211,Major,0.109,8.29e-05,0.552,0.357,77.169,3.3162166666666666,4
1,XXXTENTACION,?,SAD!,3ee8Jmje8o58CHK66QrVC2,2018,True,86,0.74,0.613,G#/Ab,-4.88,Major,0.145,0.00372,0.123,0.473,75.023,2.7767666666666666,4
2,Post Malone,beerbongs & bentleys,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,2018,True,85,0.585,0.52,F,-6.136,Minor,0.0712,7.01e-05,0.131,0.129,159.801,3.6357833333333334,4
3,Post Malone,beerbongs & bentleys,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,2018,True,80,0.75,0.56,G#/Ab,-8.094,Major,0.105,0.0,0.111,0.459,140.06,3.6906666666666665,4
4,Drake,Scorpion,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,2018,True,78,0.835,0.626,C#/Db,-5.833,Major,0.125,6e-05,0.396,0.35,91.03,3.6320833333333336,4
5,Post Malone,beerbongs & bentleys,Better Now,7dt6x5M1jzdTEt8oCbisTK,2018,True,83,0.68,0.578,A#/Bb,-5.804,Major,0.04,0.0,0.135,0.341,145.038,3.85445,4
6,Cardi B,Invasion of Privacy,I Like It,58q2HKrzhC3ozto2nDdN4z,2018,True,81,0.816,0.726,F,-3.998,Minor,0.129,0.0,0.372,0.65,136.048,4.223166666666667,4
7,Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,2018,False,83,0.791,0.862,A,-3.24,Minor,0.11,2.19e-05,0.0814,0.592,123.994,3.580783333333333,4
8,Dua Lipa,Dua Lipa (Deluxe),IDGAF,76cy1WJvNGJTj78UqeA5zr,2017,True,80,0.836,0.544,G,-5.975,Major,0.0943,0.0,0.0824,0.51,97.028,3.63245,4
9,Marshmello,FRIENDS,FRIENDS,08bNPGLD8AhKpnnERrAc6G,2018,True,81,0.626,0.88,A,-2.384,Minor,0.0504,0.0,0.128,0.534,95.079,3.3770166666666666,4
10,Camila Cabello,Camila,Havana (feat. Young Thug),1rfofaqEpACxVEHIZBJe6W,2018,False,82,0.765,0.523,D,-4.333,Major,0.03,3.56e-05,0.132,0.394,104.988,3.621783333333333,4
11,Juice WRLD,Goodbye & Good Riddance,Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,2018,True,2,0.511,0.566,F#/Gb,-7.23,Minor,0.2,0.0,0.34,0.218,83.903,3.9972666666666665,4
12,Drake,Scorpion,Nice For What,3CA9pLiwRIGtUBiMjbZmRw,2018,True,79,0.585,0.909,G#/Ab,-6.474,Major,0.0707,9.7e-05,0.119,0.758,93.372,3.51245,4
13,Maroon 5,Red Pill Blues (Deluxe),Girls Like You (feat. Cardi B) - Cardi B Version,7fa9MBXhVfQ8P8Df9OEbD8,2018,True,76,0.851,0.541,C,-6.825,Major,0.0505,0.0,0.13,0.448,124.959,3.92575,4
14,Zedd,The Middle,The Middle,09IStsImFySgyp0pIQdqAc,2018,False,83,0.753,0.657,G,-3.061,Major,0.0449,0.0,0.112,0.437,107.01,3.078866666666667,4
15,Kendrick Lamar,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,2018,True,82,0.698,0.633,G#/Ab,-4.946,Major,0.0597,0.000194,0.0926,0.552,96.924,3.8697833333333334,4
16,Ariana Grande,Sweetener,no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,2018,False,81,0.699,0.713,A,-5.507,Minor,0.0594,3.11e-06,0.294,0.354,121.993,3.432,4
17,Nicky Jam,X,X,39N9RPD9MRb5WmoLzNzPeA,2018,False,4,0.595,0.773,A,-4.736,Minor,0.0549,0.00108,0.334,0.711,180.073,2.8938,4
18,XXXTENTACION,?,Moonlight,0JP9xo3adEtGSdUEISiszL,2018,True,86,0.921,0.537,A,-5.723,Minor,0.0804,0.00404,0.102,0.711,128.009,2.2515,4
19,BlocBoy JB,Look Alive (feat. Drake),Look Alive (feat. Drake),4qKcDkK6siZ7Jp1Jb4m0aL,2018,True,76,0.922,0.581,A#/Bb,-7.495,Major,0.27,5.86e-05,0.105,0.595,140.022,3.02105,4
20,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",5CLGzJsGqhCEECcpnFQA8x,2018,False,76,0.653,0.809,C,-4.057,Major,0.0474,0.0,0.165,0.55,92.213,3.5128833333333334,4
21,Nio Garcia,Te Boté (Remix),Te Boté - Remix,3V8UKqhEK5zBkBb6d6ub8i,2018,True,79,0.903,0.675,B,-3.445,Minor,0.214,1.28e-05,0.0595,0.442,96.507,6.965333333333334,4
22,Bazzi,COSMIC,Mine,7uzmGiiJyRfuViKKK3lVmR,2018,True,78,0.71,0.789,E,-3.874,Major,0.0722,2.77e-06,0.451,0.717,142.929,2.1844,4
23,5 Seconds of Summer,Youngblood (Deluxe),Youngblood,2iUXsYOEPhVqEBwsqP70rE,2018,False,83,0.596,0.854,G,-5.114,Minor,0.463,0.0,0.124,0.152,120.274,3.3903,4
24,Dua Lipa,Dua Lipa (Complete Edition),New Rules,2xJCMIJfcNYDc5iR0sAm2O,2015,False,56,0.762,0.7,A,-6.021,Minor,0.0694,1.56e-05,0.153,0.608,116.073,3.4886666666666666,4
25,Ed Sheeran,÷ (Deluxe),Shape of You,7qiZfU4dY1lWllzX7mPBI3,2017,False,87,0.825,0.652,C#/Db,-3.183,Minor,0.0802,0.0,0.0931,0.931,95.977,3.8952166666666668,4
26,Khalid,Love Lies (with Normani),Love Lies (with Normani),45Egmo7icyopuzJN0oMEdk,2018,False,76,0.708,0.648,F#/Gb,-5.626,Major,0.0449,0.0,0.134,0.338,143.955,3.3617833333333333,4
27,Bebe Rexha,Expectations,Meant to Be (feat. Florida Georgia Line),4e4fqjx0Izh4svvTef1z7e,2018,False,72,0.642,0.772,A#/Bb,-6.61,Major,0.0848,0.0,0.0646,0.589,153.995,2.73675,4
28,XXXTENTACION,17,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,2017,True,88,0.872,0.391,C,-9.144,Minor,0.242,4.13e-06,0.297,0.437,134.021,1.98555,4
29,Ed Sheeran,÷ (Deluxe),Perfect,0tgVpDi06FyKpA1z0VMD4v,2017,False,88,0.599,0.448,G#/Ab,-6.312,Major,0.0232,0.0,0.106,0.168,95.05,4.39,3
30,Tyga,Taste (feat. Offset),Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,2018,True,77,0.884,0.559,C,-7.442,Major,0.12,0.0,0.101,0.342,97.994,3.88265,4
31,Clean Bandit,Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,2018,False,74,0.737,0.636,B,-4.546,Minor,0.0437,6.66e-05,0.35,0.565,105.005,3.7108833333333333,4
32,Post Malone,Stoney (Deluxe),I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh,2016,True,82,0.556,0.538,G#/Ab,-5.408,Minor,0.0382,0.0,0.196,0.291,143.95,3.72245,4
33,Dennis Lloyd,Nevermind,Nevermind,63SevszngYpZOwf63o61K4,2017,False,77,0.6,0.688,F,-8.339,Minor,0.201,1.29e-05,0.409,0.0793,99.977,2.61,4
34,Luis Fonsi,Échame La Culpa,Échame La Culpa,2hl6q70unbviGo3g1R7uFx,2017,False,66,0.733,0.892,C,-3.641,Major,0.0417,0.0,0.137,0.675,95.989,2.8953333333333333,4
35,benny blanco,Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,2018,False,79,0.56,0.68,F#/Gb,-7.648,Minor,0.321,0.0,0.116,0.319,89.391,2.8966666666666665,4
36,Camila Cabello,Camila,Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ,2018,False,76,0.637,0.713,C,-4.333,Major,0.0747,0.000637,0.137,0.243,129.923,3.7828833333333334,4
37,Selena Gomez,Wolves,Wolves,0tBbt8CrmxbjRP0pueQkyU,2017,False,81,0.724,0.804,B,-4.614,Minor,0.0448,0.0,0.204,0.306,124.987,3.2998833333333333,4
38,XXXTENTACION,?,changes,7AFASza1mXqntmGtbxXprO,2018,False,83,0.669,0.308,B,-10.068,Major,0.029,0.0,0.0984,0.52,64.934,2.03145,4
39,Dynoro,In My Mind,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,2018,False,81,0.694,0.77,F#/Gb,-5.335,Major,0.149,1.1e-05,0.118,0.163,125.905,3.076,4
40,Eminem,Revival,River (feat. Ed Sheeran),1cS0TgbR263ey9jn0MwD2s,2017,True,75,0.748,0.749,G#/Ab,-5.916,Minor,0.516,0.0,0.0713,0.659,90.09,3.68355,4
41,Daddy Yankee,Dura,Dura,6KuqAtoeVzxAYOaMveLNpH,2018,False,73,0.783,0.84,C#/Db,-3.416,Major,0.051,0.0,0.412,0.839,95.001,3.3413333333333335,4
42,Travis Scott,ASTROWORLD,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2018,True,85,0.834,0.73,G#/Ab,-3.714,Major,0.222,0.0,0.124,0.446,155.008,5.213666666666667,4
43,Imagine Dragons,Evolve,Thunder,1zB4vmk8tFRmM9UULNzbLB,2017,False,85,0.605,0.822,C,-4.833,Major,0.0438,0.134,0.147,0.288,167.997,3.1191166666666668,4
44,Reik,Me Niego (feat. Ozuna & Wisin),Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,2018,False,2,0.777,0.779,C,-4.449,Minor,0.0972,0.0,0.636,0.768,94.023,3.6942166666666667,4
45,Tiësto,Jackie Chan,Jackie Chan,4kWO6O1BUXcZmaxitpVUwp,2018,True,74,0.747,0.834,D#/Eb,-2.867,Minor,0.045,0.0,0.0586,0.687,128.005,3.596,4
46,Bruno Mars,Finesse (Remix) [feat. Cardi B],Finesse - Remix; feat. Cardi B,3Vo4wInECJQuz9BIBMOu8i,2017,False,76,0.704,0.859,F,-4.877,Minor,0.0996,0.0,0.0215,0.926,105.115,3.6214833333333334,4
47,Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Back To You - From 13 Reasons Why – Season 2 Soundtrack,4hQ6UGyWQIGJmHSo0J88JW,2018,False,76,0.601,0.724,F#/Gb,-4.856,Major,0.0486,1.68e-06,0.12,0.508,102.061,3.4650833333333333,4
48,NF,Perception,Let You Down,52okn5MNA47tk87PeZJLEL,2017,False,83,0.662,0.714,F,-5.68,Minor,0.121,0.0,0.179,0.464,147.997,3.5353333333333334,4
49,The Weeknd,"My Dear Melancholy,",Call Out My Name,1gm616Plq4ScqNi7TVkZ5N,2018,False,0,0.489,0.598,C#/Db,-4.929,Major,0.036,0.0,0.35,0.172,134.045,3.806216666666667,3
50,21 Savage,Without Warning,Ric Flair Drip (with Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,2017,True,83,0.88,0.428,A,-8.28,Major,0.206,5.05e-05,0.114,0.333,100.007,2.88,4
51,Marshmello,Happier,Happier,2dpaYNEQHiRxtZbfNsse99,2018,False,85,0.687,0.792,F,-2.749,Major,0.0452,0.0,0.167,0.671,100.015,3.5715,4
52,Sam Smith,The Thrill Of It All (Special Edition),Too Good At Goodbyes,1mXVgsBdtIVeCLJnSnmtdV,2017,False,83,0.681,0.372,F,-8.237,Major,0.0432,0.0,0.169,0.476,91.873,3.35,4
53,Lil Dicky,Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,2018,True,73,0.755,0.599,G#/Ab,-5.042,Major,0.224,0.0,0.109,0.755,133.123,3.610533333333333,4
54,Imagine Dragons,Evolve,Believer,0pqnGHJpmpxLKifKRmU6WP,2017,False,89,0.776,0.78,A#/Bb,-4.374,Minor,0.128,0.0,0.081,0.666,124.949,3.4057833333333334,4
55,6ix9ine,FEFE (feat. Nicki Minaj & Murda Beatz),FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,2018,True,1,0.931,0.387,C#/Db,-9.127,Major,0.412,0.0,0.136,0.376,125.978,2.990083333333333,4
56,Jonas Blue,Blue,Rise,3KLygy1YWhmrQx0GRs7IOx,2018,False,0,0.687,0.785,C#/Db,-4.65,Major,0.0333,0.0,0.203,0.655,106.046,3.2401333333333335,4
57,Loud Luxury,Body (feat. brando),Body (feat. brando),7K7MUBCnzgBAvMVW2RTWNs,2017,False,0,0.752,0.764,C#/Db,-4.399,Major,0.038,9.44e-05,0.0543,0.582,121.958,2.720266666666667,4
58,Lil Uzi Vert,Luv Is Rage 2,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,2017,True,85,0.732,0.75,B,-6.366,Minor,0.231,0.0,0.109,0.401,155.096,3.0451166666666665,4
59,Becky G,Sin Pijama,Sin Pijama,2ijef6ni2amuunRoKTlgww,2018,False,72,0.791,0.745,B,-3.695,Minor,0.0464,2.93e-05,0.104,0.82,94.014,3.1426666666666665,4
60,Anne-Marie,Speak Your Mind (Deluxe),2002,2BgEsaKNfHUdlh97KmvFyo,2018,False,83,0.697,0.683,C#/Db,-2.881,Minor,0.117,0.0,0.137,0.603,96.133,3.11645,4
61,Drake,Scorpion,Nonstop,0TlLq3lA83rQOYtrqBqSct,2018,True,79,0.912,0.412,G,-8.074,Major,0.123,0.0126,0.104,0.423,154.983,3.9769,4
62,XXXTENTACION,17,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,2017,True,85,0.797,0.533,C,-9.74,Minor,0.0412,0.000152,0.103,0.329,131.036,2.442,4
63,Shawn Mendes,Shawn Mendes,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,2018,False,78,0.622,0.712,F,-7.321,Major,0.066,0.0,0.13,0.487,140.025,3.522666666666667,4
64,Marshmello,Silence,Silence,7vGuf3Y35N4wmASOKLUVVU,2017,False,82,0.52,0.761,E,-3.093,Major,0.0853,4.96e-06,0.17,0.286,141.971,3.013716666666667,4
65,Ariana Grande,Sweetener,God is a woman,5OCJzvD7sykQEKHH7qAC3C,2018,True,82,0.602,0.658,C#/Db,-5.934,Major,0.0558,6e-05,0.237,0.268,145.031,3.29245,4
66,Piso 21,Ubuntu,Déjala Que Vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,2018,False,73,0.681,0.788,C#/Db,-4.323,Major,0.0785,0.0,0.0753,0.839,170.019,3.668616666666667,4
67,David Guetta,7,Flames,66BjcDhhwWCcQIBxHMpKXh,2018,False,63,0.631,0.649,F,-5.892,Minor,0.0385,3.8e-06,0.0934,0.421,93.95,3.244666666666667,4
68,Maroon 5,Red Pill Blues (Deluxe),What Lovers Do,0WdGQhoAP2LBsqr5Jhit2g,2017,False,35,0.799,0.597,F,-5.131,Minor,0.0611,5.66e-06,0.1,0.419,110.001,3.3308166666666668,4
69,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,2018,True,78,0.842,0.801,G#/Ab,-4.167,Minor,0.228,4.82e-06,0.0642,0.617,95.881,3.5416666666666665,4
70,Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",5Gu0PDLN4YJeW75PpBSg9p,2017,False,79,0.664,0.708,G#/Ab,-4.154,Major,0.0474,0.0,0.0841,0.742,103.07,2.9133333333333336,4
71,Portugal. The Man,Woodstock,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,2017,False,78,0.801,0.795,C#/Db,-5.115,Minor,0.0504,0.000113,0.0717,0.754,79.028,2.7208833333333335,4
72,Kendrick Lamar,Black Panther The Album Music From And Inspired By,Pray For Me (with Kendrick Lamar),77UjLW8j5UAGAGVGhR5oUK,2018,True,71,0.735,0.677,D,-4.979,Major,0.093,2.17e-05,0.111,0.188,100.584,3.524,4
73,Migos,Culture II,Walk It Talk It,6n4U3TlzUGhdSFbUUhTvLP,2018,True,78,0.907,0.633,D,-5.145,Major,0.184,2.6e-06,0.106,0.395,145.914,4.60245,4
74,G-Eazy,The Beautiful & Damned,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,2017,True,77,0.589,0.731,D,-6.343,Major,0.0868,0.0,0.308,0.191,87.908,4.481116666666667,4
75,Post Malone,beerbongs & bentleys,Candy Paint,32lItqlMi4LBhb4k0BaSaC,2018,True,78,0.664,0.667,E,-5.941,Major,0.154,1.22e-06,0.0753,0.381,180.064,3.7922166666666666,4
76,Post Malone,Stoney (Deluxe),Congratulations,3a1lNhkSLSkpJE4MSHpDu9,2016,True,83,0.63,0.804,F#/Gb,-4.183,Major,0.0363,0.0,0.253,0.492,123.146,3.67155,4
77,Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","1, 2, 3 (feat. Jason Derulo & De La Ghetto)",4QtiVmuA88tPQiCOHZuQ5b,2018,False,70,0.792,0.895,C#/Db,-3.112,Minor,0.0589,0.0,0.0501,0.794,94.968,3.3587666666666665,4
78,Natti Natasha,Criminal,Criminal,6Za3190Sbw39BBC77WSS1C,2017,False,77,0.814,0.813,D,-3.023,Minor,0.0561,9.33e-05,0.255,0.839,79.997,3.8758333333333335,4
79,Rich The Kid,The World Is Yours,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,2018,True,76,0.876,0.519,B,-6.531,Major,0.143,0.0,0.108,0.158,94.981,2.9205,4
80,Billie Eilish,lovely (with Khalid),lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2018,False,89,0.351,0.296,E,-10.109,Minor,0.0333,0.0,0.095,0.12,115.284,3.3364333333333334,4
81,Migos,Culture II,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,2018,True,73,0.817,0.816,D,-5.402,Major,0.269,0.0,0.159,0.508,181.982,3.171466666666667,4
82,Kendrick Lamar,DAMN.,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,2017,True,84,0.908,0.621,C#/Db,-6.638,Minor,0.102,5.39e-05,0.0958,0.421,150.011,2.95,4
83,Ozuna,Aura,Vaina Loca,48zFZh27QU5qsrBjn4C2FA,2018,False,75,0.754,0.805,F#/Gb,-4.249,Major,0.0752,0.0,0.203,0.555,93.982,2.93555,4
84,Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),Perfect Duet (Ed Sheeran & Beyoncé),1bhUWB0zJMIKr9yVPrkEuI,2017,False,85,0.587,0.299,G#/Ab,-7.365,Major,0.0263,0.0,0.123,0.356,94.992,4.325833333333334,3
85,Maluma,F.A.M.E.,Corazón (feat. Nego do Borel),5cepAtqnEQ6yVG6088zMMu,2018,False,72,0.722,0.738,A,-6.073,Minor,0.247,1.47e-05,0.198,0.748,198.075,3.078666666666667,4
86,Khalid,American Teen,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,2017,False,82,0.799,0.539,C#/Db,-6.351,Major,0.0421,1.66e-05,0.165,0.394,136.948,3.375783333333333,4
87,Ozuna,Odisea,Síguelo Bailando,5Y9fnynLlIvqtM710MHzfz,2017,False,71,0.855,0.664,A,-7.11,Minor,0.0607,3.97e-05,0.0937,0.626,98.015,3.78,4
88,Anitta,Downtown,Downtown,3Ga6eKrUFf12ouh9Yw3v2D,2017,False,75,0.775,0.679,E,-4.985,Minor,0.135,7.26e-05,0.068,0.619,166.008,3.224266666666667,4
89,Wolfine,Bella,Bella,3xcCix7Jv1Rp90YVmgo35D,2017,False,3,0.909,0.493,D#/Eb,-6.688,Major,0.0735,0.000147,0.127,0.844,94.016,3.2853333333333334,4
90,Calvin Harris,Promises (with Sam Smith),Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,2018,False,78,0.781,0.768,B,-5.991,Major,0.0394,4.91e-06,0.325,0.486,123.07,3.55515,4
91,Lil Baby,Harder Than Ever,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,2018,True,81,0.963,0.346,F,-9.309,Minor,0.53,0.0,0.108,0.562,119.957,2.3712166666666668,4
92,Lauv,I met you when I was 18. (the playlist),I Like Me Better,2P91MQbaiQOfbiz9VqhqKQ,2018,False,84,0.752,0.505,A,-7.621,Major,0.253,2.55e-06,0.104,0.419,91.97,3.2906166666666667,4
93,Keala Settle,This Is Me,This Is Me,2xGjteMU3E1tkEPVFBO08U,2017,False,66,0.284,0.704,D,-7.276,Major,0.186,0.000115,0.0424,0.1,191.702,3.911783333333333,4
94,XXXTENTACION,17,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,2017,True,87,0.734,0.57,G,-7.066,Minor,0.133,2.14e-05,0.112,0.689,129.953,1.5911166666666667,4
95,Zac Efron,Rewrite The Stars,Rewrite The Stars,630sXRhIcfwr2e4RdNtjKN,2017,False,74,0.684,0.619,A#/Bb,-7.005,Major,0.0386,0.0,0.122,0.284,125.046,3.624,4
96,Clean Bandit,I Miss You (feat. Julia Michaels),I Miss You (feat. Julia Michaels),2xmrfQpmS2iJExTlklLoAL,2017,False,1,0.638,0.658,D#/Eb,-6.318,Major,0.0456,3.77e-06,0.0919,0.33,105.076,3.429133333333333,4
97,DJ Khaled,No Brainer,No Brainer,5WvAo7DNuPRmk4APhdPzi8,2018,True,70,0.552,0.76,C,-4.706,Major,0.342,0.0,0.0865,0.639,135.702,4.333333333333333,5
98,ZAYN,Dusk Till Dawn (Radio Edit),Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv,2017,False,81,0.258,0.437,B,-6.593,Minor,0.039,1.27e-06,0.106,0.0967,180.043,3.9833333333333334,4
99,Dean Lewis,Be Alright,Be Alright,3EPXxR3ImUwfayaurPi3cm,2018,True,83,0.553,0.586,B,-6.319,Major,0.0362,0.0,0.0813,0.443,126.684,3.272883333333333,4
100,Gilli,Kiko,Vai Amor,7nPTjuVySLIUlgKrzTIFdb,2019,False,50,0.89,0.662,C,-5.462,Major,0.199,0.0258,0.0594,0.837,129.988,2.77255,4
101,Lady Gaga,A Star Is Born Soundtrack (Without Dialogue),Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,2018,False,77,0.575,0.33,G,-6.557,Major,0.031,0.0,0.0872,0.277,95.801,3.620216666666667,4
102,Lord Siva,Paris,Paris,1NgeW6kFhdqAvEKgKYhf1s,2019,False,52,0.818,0.533,F#/Gb,-6.05,Minor,0.0428,6.66e-06,0.133,0.774,114.97,2.8440833333333333,4
103,Tones And I,The Kids Are Coming,Dance Monkey,5ZULALImTm80tzUbYQYM9d,2019,False,77,0.824,0.588,F#/Gb,-6.4,Minor,0.0924,0.000104,0.149,0.513,98.027,3.4906333333333333,4
104,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2019,False,88,0.501,0.405,C#/Db,-5.679,Major,0.0319,0.0,0.105,0.446,109.891,3.036016666666667,4
105,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",bad guy,2Fxmhks0bxGSBdJ92vM42m,2019,False,87,0.701,0.425,G,-10.965,Major,0.375,0.13,0.1,0.562,135.128,3.2348,4
106,Shawn Mendes,Señorita,Señorita,0TK2YIli7K1leLovkQiNik,2019,False,83,0.759,0.54,A,-6.039,Minor,0.0287,0.0,0.0945,0.75,116.947,3.1826666666666665,4
107,Ed Sheeran,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019,False,81,0.798,0.675,F#/Gb,-5.041,Major,0.0442,0.0,0.0894,0.842,101.956,3.665783333333333,4
108,Post Malone,Hollywood's Bleeding,Wow.,7xQAfvXzm3AkraOtGPWIZg,2019,True,82,0.829,0.539,B,-7.359,Minor,0.208,1.78e-06,0.103,0.388,99.96,2.49245,4
109,Suspekt,Gonzo,Gonzo,6bh20cEbXMNJ5JPUvbGSYq,2019,True,0,0.75,0.557,C#/Db,-8.407,Major,0.262,5.15e-05,0.173,0.322,99.977,2.875,4
110,Ava Max,Sweet but Psycho,Sweet but Psycho,25sgk305KZfyuqVBQIahim,2018,False,12,0.719,0.704,C#/Db,-4.724,Major,0.0476,0.0,0.166,0.628,133.002,3.1239333333333335,4
111,Emil Stabil,En Sang (feat. Gucci Mane),En Sang (feat. Gucci Mane),1hwYGaUz6V4odyt0u0QlKf,2019,True,49,0.874,0.573,D,-4.768,Minor,0.0816,0.0,0.0612,0.46,94.989,2.4707,4
112,Post Malone,Hollywood's Bleeding,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,2019,False,82,0.755,0.522,D,-4.368,Major,0.0575,0.0,0.0685,0.925,89.96,2.626,4
113,Lil Nas X,7 EP,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,2019,False,82,0.878,0.619,F#/Gb,-5.56,Major,0.102,0.0,0.113,0.639,136.041,2.617783333333333,4
114,TopGunn,1991,Nik & Jay,151GbWJcajt35sN4T309vF,2019,False,49,0.879,0.489,A,-8.271,Minor,0.217,0.0,0.11,0.423,94.939,2.9013333333333335,4
115,KESI,X,X,7iNiRaxUOvd4seviLprqeb,2019,False,45,0.756,0.596,C,-5.473,Minor,0.0359,0.0,0.216,0.683,102.005,3.0281833333333332,4
116,MEDUZA,Piece Of Your Heart,Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,2019,False,79,0.677,0.744,A#/Bb,-6.806,Minor,0.0295,0.00016,0.074,0.631,124.08,2.54855,4
117,Ariana Grande,"thank u, next",7 rings,6ocbgoVGwYJhOv1GgI9NsF,2019,True,87,0.778,0.317,C#/Db,-10.732,Minor,0.334,0.0,0.0881,0.327,140.048,2.977116666666667,4
118,Ed Sheeran,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,2019,False,79,0.64,0.648,F,-8.113,Minor,0.187,0.0,0.0802,0.548,92.977,3.2977833333333333,4
119,Branco,All In,All In,59iEMlCecSDtur0rlSOmvX,2019,False,48,0.805,0.637,F,-5.501,Minor,0.0472,0.0,0.0716,0.321,99.983,2.8047,4
120,Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019,False,80,0.741,0.52,G#/Ab,-7.513,Major,0.0656,1.97e-06,0.222,0.347,102.998,2.8505,4
121,Avicii,SOS (feat. Aloe Blacc),SOS,0n2nEtLP3OzDdi12ziIekx,2019,False,64,0.802,0.645,F,-6.181,Minor,0.0715,0.0,0.119,0.376,100.001,2.620033333333333,4
122,Halsey,Without Me,Without Me,5p7ujcrUXASCNwRaWNHR1C,2018,True,81,0.752,0.488,F#/Gb,-7.05,Major,0.0705,9.11e-06,0.0936,0.533,136.041,3.3610166666666665,4
123,Dean Lewis,Be Alright,Be Alright,3EPXxR3ImUwfayaurPi3cm,2018,True,83,0.553,0.586,B,-6.319,Major,0.0362,0.0,0.0813,0.443,126.684,3.272883333333333,4
124,Mabel,Ivy To Roses (Mixtape),Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019,False,80,0.674,0.881,A,-2.853,Major,0.147,3.01e-06,0.0793,0.234,98.994,2.974666666666667,4
125,Lukas Graham,3 (The Purple Album),Love Someone,3id2EVGKc3eFAMn9nFnB0r,2018,False,63,0.538,0.409,A,-6.581,Minor,0.0505,0.0,0.11,0.265,171.838,3.424,4
