,artist,album,track_name,track_id,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1165,Boy In Space,7UP,7UP,4cB00WOFuQFLoDpnydcx8c,2019,False,62,0.616,0.469,C,-7.38,Major,0.027,0.0,0.111,0.233,135.035,3.3925833333333335,4
1166,Jake Miller,SUMMER 19,COULD HAVE BEEN YOU,16euiu0Y2PREK8KvhYHcSW,2019,True,52,0.386,0.652,A#/Bb,-6.712,Major,0.0922,0.0,0.0801,0.535,79.416,3.37135,4
1167,NEFFEX,Destiny: The Collection,Struggle,1Cc2bMMM8KlVxOiOdHOHWy,2019,False,45,0.783,0.602,C,-6.289,Major,0.0488,0.0,0.112,0.575,99.94,2.76,4
1168,jxdn,Angels & Demons (Acoustic),Angels & Demons - Acoustic,4I03suXK2BpP8edU5UXqhr,2020,True,51,0.662,0.369,C,-7.903,Minor,0.0266,0.0,0.103,0.294,109.92,2.8862833333333335,4
1169,Cardiff Brothers,Heartbreaker,Heartbreaker,1TPTi15JZrok9iblbwHVLJ,2018,True,33,0.52,0.461,C#/Db,-7.777,Minor,0.423,0.0,0.127,0.27,59.709,3.6333333333333333,4
1170,Active,Stand,Stand,4VkSIcvckd9iv94qsBKNaE,2019,False,2,0.84,0.619,C,-8.302,Major,0.331,0.0,0.068,0.143,98.004,3.4582333333333333,4
1171,Bj the Queen,The Red Print,Monday March 23,3cUQ3vgPtJqCK2IzhABt9C,2020,True,51,0.581,0.483,A,-13.211,Minor,0.405,0.0,0.105,0.514,180.095,3.1764833333333335,4
1172,DYSN,Rarities,IRL,4tTH96SjarwHLuY9NtFEfE,2021,True,47,0.564,0.536,C#/Db,-9.492,Minor,0.0947,0.0,0.279,0.214,150.099,3.6148666666666665,4
1173,AK,Don't Look Down,Don't Look Down,1aJa14yY55ZIhml7If5RV2,2018,True,36,0.577,0.749,A,-5.683,Major,0.0353,0.0,0.176,0.833,145.059,3.83185,4
1174,PatricKxxLee,Nowhere Child,Hurts To Feel,1FXZ4Qp10KsG2KAl22aaCr,2018,False,31,0.65,0.709,C,-6.645,Major,0.0588,0.00321,0.136,0.291,159.964,3.8005166666666668,4
1175,diveliner,2 hearts,2 hearts,7pSppA7RRUELfLpcLiNCTu,2019,True,37,0.286,0.544,B,-7.661,Major,0.0863,0.0,0.106,0.146,81.152,3.2502166666666668,4
1176,Jake Scott,Year of the Sunflower,Man Who Stays,2Xd038AsK02iM7juMKAcnM,2019,False,46,0.534,0.246,A#/Bb,-10.636,Major,0.0453,0.0,0.119,0.286,111.792,3.719516666666667,5
1177,Alex France,I Don't Wanna Be Your Friend,I Don't Wanna Be Your Friend,7L7aOubzJiw3pTve8j1GjS,2018,True,34,0.552,0.572,F,-5.26,Minor,0.0416,4.47e-06,0.144,0.239,94.758,3.8105333333333333,4
1178,Molly Kate Kestner,Prom Queen,Prom Queen,2WEAKylXBPr9PJNANBSTDG,2017,False,67,0.601,0.706,F#/Gb,-4.537,Minor,0.0458,0.0,0.0982,0.249,91.996,3.76905,4
1179,DeathbyRomy,Problems (Remix feat. 24kGoldn),Problems (Remix feat. 24kGoldn),68Hiprd6Ub4ifHFpUNNJns,2020,False,49,0.78,0.646,C,-3.136,Major,0.0384,0.0,0.192,0.493,144.951,3.14175,4
1180,Jai Waetford,Shy - EP,Shy,3nivloq0Lqd2CYWHTgAlwU,2015,False,62,0.541,0.518,G,-4.12,Major,0.0451,0.0,0.0835,0.305,75.134,3.1273333333333335,4
1181,Trevi Moran,Crisis,Crisis,7dlH4Jg6WqJqpeEYVG4rrW,2020,True,34,0.647,0.436,C,-10.209,Major,0.119,5.05e-05,0.093,0.278,146.204,3.54795,4
1182,conscience,Heavy,Heavy,5cSilbhfdziKRjljhunRbz,2020,True,45,0.675,0.43,C,-8.29,Minor,0.08,0.00613,0.0678,0.22,78.042,2.9743666666666666,4
1183,Katrina Stuart,Under My Skin,Gone,4Wr3oGdmT647Y7RVKzHtBq,2019,False,39,0.728,0.342,G,-9.031,Major,0.0311,0.0,0.145,0.224,129.924,3.1025833333333335,4
1184,SayWeCanFly,Pavement,Pavement,2NKcrFubVH32cUuAw1svj8,2019,False,52,0.308,0.717,C,-7.278,Major,0.0779,0.0,0.371,0.266,175.318,2.9457166666666668,4
1185,Macy Kate,Cry For Help,Cry For Help,5bkYHMdl8Xx9j6LQf5PTfF,2020,True,29,0.544,0.493,C,-5.488,Major,0.305,0.0,0.102,0.312,131.591,3.284133333333333,4
1186,Elton Castee,The Fun in Life,The Fun in Life,2f0YSrns5YZDHo0T40n5Sl,2019,False,47,0.834,0.69,A,-7.254,Major,0.202,0.0,0.444,0.606,99.002,3.3541,4
